comment_id,company_id,origina_benefits,employer_create,organiza_select,organiza_collab,supervision_bene,supervision_adequate,teacher_supervisor,cooper_service
4204000101,4113000101,4,4,4,4,4,5,5,4
4204000102,4113000102,4,4,4,4,4,3,4,3
4204000103,4113000103,5,5,4,5,5,5,5,4
4204000104,4113000104,5,5,5,5,5,5,4,5
4204000105,4113000105,5,5,5,5,5,5,5,5
4204000106,4113000106,5,5,4,4,4,5,5,5
4204000107,4113000107,5,5,5,5,5,4,5,5
4204000108,4113000108,5,5,4,4,4,4,4,4
4204000109,4113000109,5,5,4,4,4,3,5,5
4204000110,4113000110,5,5,5,4,4,4,5,4
4204000111,4113000111,4,3,3,3,3,3,2,4
4204000112,4113000112,5,5,4,4,4,3,5,5
4204000113,4113000113,4,4,4,4,5,4,4,5
4204000114,4113000114,4,4,5,4,3,4,4,4
4204000115,4113000115,5,5,4,4,4,5,5,3
4204000116,4113000116,3,5,5,3,5,4,5,4
4204000117,4113000117,3,4,5,3,4,3,4,3
4204000118,4113000118,5,5,4,5,3,4,3,3
4204000119,4113000119,3,3,5,4,4,4,5,5
4204000120,4113000120,5,5,5,3,5,3,3,4
4204000121,4113000121,4,3,5,4,4,5,5,3
4204000122,4113000122,3,3,3,4,5,5,5,5
4204000123,4113000123,3,3,4,3,3,4,4,3
4204000124,4113000124,5,3,4,3,3,3,5,4
4204000125,4113000125,4,3,3,3,3,4,3,3
4204000126,4113000126,4,5,5,3,3,4,5,4
4204000127,4113000127,4,4,4,4,3,4,5,5
4204000128,4113000128,4,3,4,5,5,4,5,3
4204000129,4113000129,5,4,5,5,4,5,4,5
4204000130,4113000130,5,5,4,5,3,3,5,4
4204000131,4113000131,3,3,5,5,4,5,3,4
4204000132,4113000132,5,5,3,3,3,4,3,5
4204000133,4113000133,3,3,3,3,4,5,4,4
4204000134,4113000134,3,5,5,5,3,4,3,3
4204000135,4113000135,4,4,3,4,5,4,4,4
4204000136,4113000136,3,5,4,5,4,5,3,4
4204000137,4113000137,5,3,4,3,4,3,3,4
4204000138,4113000138,4,4,5,4,3,3,3,3
