company_id,company_name,province
4113000101,JOBKK,กรุงเทพมหานคร
4113000102,Samsonite,กรุงเทพมหานคร
4113000103,BTS,กรุงเทพมหานคร
4113000104,CP ALL,กรุงเทพมหานคร
4113000105,G-HERB,สิงห์บุรี
4113000106,กรมสอบสวนคดีพิเศษ,กรุงเทพมหานคร
4113000107,สปสช,นนทบุรี
4113000108,เวลล์ไฟน์เทค,กรุงเทพมหานคร
4113000109,BSS,กรุงเทพมหานคร
4113000110,Agoda,กรุงเทพมหานคร
4113000111,ไอที ครีเอท โซลุชั่น,กรุงเทพมหานคร
4113000112,ไทยรัฐ (เทรนวีจี),กรุงเทพมหานคร
4113000113,FPT,กรุงเทพมหานคร
4113000114,Biscuit Solution ,กรุงเทพมหานคร
4113000115,เเฮปปี้เวนเจอร์,กรุงเทพมหานคร
4113000116,MQDC,สมุทรปราการ
4113000117,TPP Land house ,กรุงเทพมหานคร
4113000118,Egg digital,กรุงเทพมหานคร
4113000119,ซันมิ ทีเอช,กรุงเทพมหานคร
4113000120,บริษัท ศิสออฟบิวตี้,กรุงเทพมหานคร
4113000121,ธนาคารไทยพาณิชย์,กรุงเทพมหานคร
4113000122,บริษัท We go Were,กรุงเทพมหานคร
4113000123,ธนาคารแห่งประเทศไทย,กรุงเทพมหานคร
4113000124,สวทช,กรุงเทพมหานคร
4113000125,KMS World,กรุงเทพมหานคร
4113000126,ทรูคอเปอเรชั่น ,กรุงเทพมหานคร
4113000127,KBTG,กรุงเทพมหานคร
4113000128,ECOP,กรุงเทพมหานคร
4113000129,Adapter,กรุงเทพมหานคร
4113000130,Amity,กรุงเทพมหานคร
4113000131,SCG,กรุงเทพมหานคร
4113000132,โรงพยาบาลมาสเตอร์พีท,กรุงเทพมหานคร
4113000133,แสนสิริ,กรุงเทพมหานคร
4113000134,VGI,กรุงเทพมหานคร
4113000135,ธนาคารกรุงเทพ,กรุงเทพมหานคร
4113000136,Create Intelligence,กรุงเทพมหานคร
4113000137,PTT,กรุงเทพมหานคร
4113000138,Motivy,
