student_id,project_title,professor_id,finish_year,abstract,total_pages,passed
6324650005,พยากรณ์ความต้องการสินค้าด้วยโมเดล ARIMA,2845601001,2567,พยากรณ์ความต้องการสินค้าในอนาคต โดยใช้โมเดล ARIMA ช่วยให้ธุรกิจจัดการสต็อกสินค้าได้อย่างมีประสิทธิภาพ ลดต้นทุน และเพิ่มผลกำไร,70,true
6124650001,วิเคราะห์ความเสี่ยงสินเชื่อยานยนต์ด้วยโมเดล Machine Learning,2845601001,2565,โครงการนี้มุ่งเน้นไปที่การใช้โมเดล Machine Learning วิเคราะห์ข้อมูลลูกค้า ประวัติการชำระหนี้ เพื่อประเมินความเสี่ยงสินเชื่อยานยนต์ ช่วยให้ธนาคารตัดสินใจอนุมัติสินเชื่อได้อย่างมีประสิทธิภาพ ลดความเสี่ยงหนี้เสีย,50,true
6124650002,ระบบแนะนำสินค้าอัจฉริยะด้วยเทคนิคการวิเคราะห์ข้อมูล,2845601002,2565,พัฒนาระบบแนะนำสินค้าที่เหมาะสมกับความต้องการลูกค้าแต่ละคน โดยใช้เทคนิคการวิเคราะห์ข้อมูล Machine Learning ช่วยเพิ่มโอกาสในการขาย สร้างประสบการณ์ที่ดีให้กับลูกค้า,60,true
6124650003,วิเคราะห์ความคิดเห็นของลูกค้าบนโซเชียลมีเดีย,2845601003,2565,วิเคราะห์รีวิว คะแนน และความคิดเห็นของลูกค้าบนโซเชียลมีเดีย แพลตฟอร์มออนไลน์ เพื่อระบุจุดแข็ง จุดอ่อน และโอกาสในการพัฒนาสินค้าและบริการ ช่วยให้ธุรกิจเข้าใจความต้องการของลูกค้าได้ดีขึ้น,45,true
6124650004,ระบบตรวจจับการฉ้อโกงธุรกรรมออนไลน์ด้วยเทคนิค Machine Learning,2845601004,2565,พัฒนาระบบตรวจจับธุรกรรมที่ผิดปกติ หรือมีแนวโน้มเป็นการฉ้อโกง โดยใช้เทคนิค Machine Learning ช่วยป้องกันความเสียหายทางการเงินให้กับธุรกิจ,50,true
6124650005,พยากรณ์ความต้องการสินค้าด้วยโมเดล ARIMA,2845601005,2565,พยากรณ์ความต้องการสินค้าในอนาคต โดยใช้โมเดล ARIMA ช่วยให้ธุรกิจจัดการสต็อกสินค้าได้อย่างมีประสิทธิภาพ ลดต้นทุน และเพิ่มผลกำไร,70,true
6124650006,การวิเคราะห์สภาพการจราจรและแนะนำเส้นทางแบบเรียลไทม์,2845601006,2565,โครงการนี้มุ่งเน้นไปที่การวิเคราะห์ข้อมูลสภาพการจราจรแบบเรียลไทม์ เพื่อพัฒนาระบบแนะนำเส้นทางที่เหมาะสม ช่วยลดระยะเวลาการเดินทาง ประหยัดน้ำมัน และลดมลพิษ,42,true
6124650007,การประเมินความเสี่ยงของโรคหัวใจจากข้อมูลทางคลินิก,2845601001,2565,โครงการนี้มุ่งเน้นไปที่การใช้เทคนิคการเรียนรู้ของเครื่อง (Machine Learning) วิเคราะห์ข้อมูลทางคลินิกของผู้ป่วย เพื่อประเมินความเสี่ยงของการเกิดโรคหัวใจ ช่วยแพทย์ในการวินิจฉัย ป้องกัน และรักษาโรคได้อย่างทันท่วงที,65,true
6124650008,พัฒนา Chatbot อัจฉริยะสำหรับบริการลูกค้า,2845601002,2565,พัฒนา Chatbot ที่ใช้เทคนิค Natural Language Processing (NLP) เพื่อตอบคำถาม ให้ข้อมูล แก้ไขปัญหา และช่วยเหลือลูกค้า ช่วยเพิ่มประสิทธิภาพการบริการลูกค้า ลดต้นทุน และสร้างความพึงพอใจให้กับ,62,true
6124650009,การวิเคราะห์ความเสี่ยงของสินเชื่อยานยนต์ด้วย Deep Learning,2845601003,2565,วิเคราะห์ข้อมูลลูกค้า ประวัติการชำระหนี้ และปัจจัยทางการเงินอื่นๆ โดยใช้ Deep Learning ประเมินความเสี่ยงของสินเชื่อยานยนต์ ช่วยให้ธนาคารตัดสินใจอนุมัติสินเชื่อได้อย่างมีประสิทธิภาพ ลดความเสี่ยงหนี้เสีย,52,true
6124650010,การคาดการณ์ราคาหุ้นด้วยโมเดล Deep Learning,2845601004,2565,โครงการนี้มุ่งเน้นไปที่การพัฒนาระบบคาดการณ์ราคาหุ้นโดยใช้โมเดล Deep Learning วิเคราะห์ข้อมูลตลาดหุ้น ปัจจัยทางเศรษฐกิจ และข่าวสาร ช่วยนักลงทุนตัดสินใจลงทุนได้อย่างมีประสิทธิภาพ ลดความเสี่ยง และเพิ่มโอกาสในการทำกำไร,85,true
6124650011,การวิเคราะห์การแพร่ระบาดของ COVID-19 ด้วยโมเดล Agent-Based Modeling,2845601005,2565,พัฒนาระบบจำลองการแพร่ระบาดของ COVID-19 โดยใช้โมเดล Agent-Based Modeling วิเคราะห์พฤติกรรมของประชาชน การควบคุมโรค และประสิทธิภาพของมาตรการต่างๆ ช่วยหน่วยงานด้านสาธารณสุขวางแผนป้องกันและควบคุมโรคได้อย่างมีประสิทธิภาพ,60,true
